Rk,Player,Tm,FantPos,PPR,-9999
488,Ben Sims,2TM,TE,6.0,SimsBe00
489,Durham Smythe,CHI,TE,6.5,SmytDu00
490,Deven Thompkins,ATL,WR,6.2,ThomDe07
491,Jordan Watkins,SFO,WR,4.6,WatkJo00
492,Justin Watson,HOU,WR,6.0,WatsJu01
493,Jake Bobo,SEA,WR,4.0,BoboJa00
494,Britain Covey,PHI,WR,4.0,CoveBr00
495,DeeJay Dallas,2TM,RB,2.1,DallDe00
496,Joshua Dobbs,NWE,QB,2.1,DobbJo00
497,Clyde Edwards-Helaire,KAN,RB,4.2,EdwaCl00
498,Tucker Fisk,LAC,TE,3.9,FiskTu00
499,Roschon Johnson,CHI,RB,1.7,JohnRo07
500,Tim Jones,2TM,WR,2.5,JoneTi00
501,Jakobie Keeney-James,GNB,WR,3.5,KeenJa00
502,Lucas Krull,DEN,TE,3.5,KrulLu00
503,Will Mallory,IND,TE,2.6,MallWi00
504,Tay Martin,WAS,WR,4.3,MartTa00
505,Zaire Mitchell-Paden,2TM,TE,3.7,MitcZa00
506,David Moore,CAR,WR,2.7,MoorDa03
507,Tip Reiman,ARI,TE,4.8,ReimTi00
508,Cooper Rush,BAL,QB,1.7,RushCo00
509,Trent Sherfield,2TM,WR,5.1,SherTr00
510,Clayton Tune,GNB,QB,2.0,TuneCl00
511,Tahj Washington,MIA,WR,4.7,WashTa00
512,Jared Wayne,HOU,WR,4.0,WaynJa01
513,Jelani Woods,NYJ,TE,3.4,WoodJe01
514,Jacardia Wright,SEA,RB,2.0,WrigJa05
515,Colson Yankoff,WAS,TE,3.8,YankCo00
516,Shane Zylstra,DET,TE,5.0,ZylsSh00
517,Brandon Allen,TEN,QB,0.9,AlleBr00
518,Andre Baccellia,ARI,WR,2.8,BaccAn00
519,Alex Bachman,LVR,WR,3.2,BachAl00
520,Harrison Bryant,HOU,TE,2.7,BryaHa00
521,Sal Cannella,CLE,TE,3.1,CannSa00
522,Payne Durham,TAM,TE,2.1,DurhPa00
523,Ross Dwelley,DET,TE,2.7,DwelRo00
524,Myles Gaskin,SEA,RB,0.6,GaskMy00
525,Anthony Gould,IND,WR,2.6,GoulAn00
526,Cam Grandy,CIN,TE,2.7,GranCa00
527,Amar Johnson,LAC,RB,0.8,JohnAm00
528,Dylan Laube,LVR,RB,3.7,LaubDy00
529,Chris Manhertz,NYG,TE,1.7,ManhCh00
530,Moliki Matavao,NOR,TE,3.0,MataMo00
531,Kalel Mullings,TEN,RB,0.7,MullKa00
532,Bryce Oliver,TEN,WR,1.8,OlivBr02
533,Patrick Ricard*,BAL,FB,2.1,RicaPa00
534,Anthony Richardson,IND,QB,2.2,RichAn03
535,Jacob Saylors,DET,RB,1.1,SaylJa00
536,Quentin Skinner,NYJ,WR,2.0,SkinQu00
537,Josh Williams,TAM,RB,1.1,WillJo011
538,Zach Wilson,MIA,QB,1.4,WilsZa00
539,Owen Wright,TAM,RB,0.6,WrigOw00
540,Ben Yurosek,MIN,TE,3.4,YuroBe00
541,Maurice Alexander,CHI,WR,,AlexMa02
542,Kyle Allen,DET,QB,-0.3,AlleKy00
543,Ulysses Bentley,IND,RB,,BentUl00
544,Chris Blair,ATL,WR,,BlaiCh00
545,Gary Brightwell,CIN,RB,,BrigGa00
546,Ja'Corey Brooks,WAS,WR,,BrooJa04
547,Jason Brownlee,KAN,WR,,BrowJa07
548,Pharaoh Brown,ARI,TE,2.1,BrowPh01
549,Lawrence Cager,WAS,TE,,CageLa01
550,Dalen Cambre,NYG,WR,,CambDa00
551,Dalevon Campbell,CAR,WR,,CampDa01
552,Parris Campbell,DAL,WR,,CampPa00
553,Stephen Carlson,CHI,TE,,CarlSt00
554,DeAndre Carter,CLE,WR,,CartDe02
555,Dan Chisena,CAR,WR,,ChisDa00
556,River Cracraft,WAS,WR,,CracRi00
557,Malik Cunningham,DET,WR,0.1,CunnMa00
558,Drake Dabney,GNB,TE,1.3,DabnDr00
559,Kaden Davis,CLE,WR,,DaviKa02
560,Zach Davidson,NYG,TE,,DaviZa00
561,CJ Dippre,NWE,TE,,DippCJ00
562,Chase Edmonds,WAS,RB,,EdmoCh00
563,Princeton Fant,DAL,TE,,FantPr00
564,Simi Fehoko,ARI,WR,,FehoSi00
565,Thomas Fidone,NYG,TE,,FidoTh00
566,Feleipe Franks,ATL,TE,0.4,FranFe00
567,Russell Gage,SFO,WR,,GageRu00
568,Eric Gray,NYG,RB,,GrayEr01
569,Isaac Guerendo,SFO,RB,,GuerIs00
570,Nyheim Hines,2TM,RB,-0.2,HineNy00
571,Jimmy Holiday,KAN,WR,,HoliJi00
572,Travis Homer,CHI,RB,-0.2,HomeTr00
573,Zach Horton,DET,TE,,HortZa00
574,Jarquez Hunter,LAR,RB,,HuntJa03
575,Jordan James,SFO,RB,,JameJo01
576,Jermar Jefferson,ARI,RB,,JeffJe00
577,E.J. Jenkins,PHI,TE,,JenkEJ00
578,Jakob Johnson,HOU,FB,,JohnJa12
579,Jeshaun Jones,MIN,WR,,JoneJe01
580,Nikola Kalinic,CHI,TE,,KaliNi00
581,Nick Kallerup,SEA,TE,,KallNi00
582,Ko Kieft,TAM,TE,,KiefKo00
583,Cameron Latu,PHI,TE,,LatuCa01
584,Marcedes Lewis,DEN,TE,,LewiMa00
585,Drew Lock,SEA,QB,0.1,LockDr00
586,Dominic Lovett,DET,WR,,LoveDo00
587,Adrian Martinez,SFO,QB,-0.1,MartAd00
588,Sean McKeon,IND,TE,,McKeSe01
589,Jackson Meeks,DET,WR,,MeekJa00
590,Kendall Milton,CIN,RB,0.2,MiltKe01
591,Jordan Mims,TEN,RB,,MimsJo00
592,Gardner Minshew II,KAN,QB,-0.3,MinsGa00
593,Elijah Mitchell,KAN,RB,,MitcEl00
594,Jalen Moreno-Cropper,DAL,WR,,MoreJa01
595,Nick Mullens,JAX,QB,,MullNi00
596,Lew Nichols,PIT,RB,,NichLe00
597,Robbie Ouzts,SEA,FB,,OuztRo00
598,Coleman Owen,IND,WR,,OwenCo00
599,Tejhaun Palmer,ARI,WR,,PalmTe00
600,Brennan Presley,LAR,WR,,PresBr00
601,Teagan Quitoriano,ATL,TE,,QuitTe00
602,Craig Reynolds,DET,RB,0.4,ReynCr00
603,Giovanni Ricci,DET,TE,,RiccGi00
604,JP Richardson,CHI,WR,,RichJP00
605,Jalen Royals,KAN,WR,2.4,RoyaJa00
606,Hayden Rucci,MIA,TE,,RuccHa00
607,Carter Runyon,LVR,TE,1.3,RunyCa00
608,Brady Russell,SEA,TE,,RussBr00
609,Brett Rypien,CIN,QB,,RypiBr00
610,Cody Schrader,LAR,RB,,SchrCo00
611,Trey Sermon,PIT,RB,,SermTr00
612,Justin Shorter,LVR,TE,,ShorJu00
613,Steven Sims,ARI,WR,,SimsSt00
614,Kedon Slovis,ARI,QB,-0.1,SlovKe00
615,Brandon Smith,NYJ,WR,,SmitBr07
616,Jarrett Stidham,DEN,QB,-0.1,StidJa00
617,Robert Tonyan,KAN,TE,1.1,TonyRo00
618,Samori Toure,NOR,WR,1.3,TourSa00
619,Laquon Treadwell,IND,WR,,TreaLa00
620,Cole Turner,TEN,TE,,TurnCo00
621,DJ Turner,LVR,WR,,TurnDJ00
622,Malik Turner,SFO,WR,,TurnMa00
623,Sione Vaki,DET,RB,0.4,VakiSi00
624,Nick Vannett,2TM,TE,,VannNi00
625,Travis Vokolek,ARI,TE,,VokoTr00
626,Carlos Washington,ATL,RB,,WashCa00
627,Treyton Welch,NOR,TE,,WelcTr00
628,Jack Westover,NWE,FB,1.0,WestJa01
629,Blake Whiteheart,CLE,TE,2.4,WhitBl01
630,Ricky White,SEA,WR,,WhitRi01
631,Jared Wiley,KAN,TE,1.4,WileJa00
632,Avery Williams,NYJ,WR,,WillAv02
633,Brayden Willis,SFO,TE,,WillBr06
634,Jeff Wilson,MIA,RB,,WilsJe01
635,Derius Davis,LAC,WR,1.5,DaviDe02
636,Jimmy Garoppolo,LAR,QB,-1.0,GaroJi00
637,Ke'Shawn Williams,2TM,WR,0.5,WillKe08
638,Jamal Agnew,ATL,WR,-2.0,AgneJa00
639,Mecole Hardman,BUF,WR,-2.0,HardMe00
640,Jalen Milroe,SEA,QB,-1.6,MilrJa00
641,LaJohntay Wester,BAL,WR,-2.0,WestLa01
642,Xavier Gipson,3TM,WR,-1.4,GipsXa00
643,Myles Price,MIN,WR,-6.0,PricMy00
